Location,Timestamp,pH,Turbidity,DissolvedOxygen,Conductivity,Temperature,Phosphorus,Nitrates,EColi
Well_1,2026-04-01T08:00,7.2,0.5,8.1,450,22.5,0.02,5,0
Well_1,2026-04-01T14:00,7.1,0.6,7.9,460,24.2,0.03,6,0
Well_1,2026-04-01T20:00,7.3,0.4,8.2,440,20.1,0.02,4,0
Well_2,2026-04-01T08:00,6.8,1.2,6.5,520,23.1,0.05,12,5
Well_2,2026-04-01T14:00,6.9,1.5,6.2,540,25.5,0.08,15,8
Well_2,2026-04-01T20:00,7.0,1.1,6.8,510,21.3,0.06,13,3
Spring_1,2026-04-01T08:00,7.4,0.3,9.1,380,19.5,0.01,2,0
Spring_1,2026-04-01T14:00,7.5,0.2,9.3,370,21.2,0.01,1,0
Spring_1,2026-04-01T20:00,7.3,0.4,9.0,385,18.9,0.01,3,0
River_1,2026-04-01T08:00,7.6,3.2,7.2,650,20.5,0.12,25,45
River_1,2026-04-01T14:00,7.5,4.1,6.9,680,22.8,0.15,30,65
River_1,2026-04-01T20:00,7.7,2.8,7.4,640,19.2,0.10,22,38
